row ID,row m/z,row retention time,20180626-Cfe-DMSO-14point784-14point788.mzML Peak area,20180626-Cfe-DMSO-14point584-14point587.mzML Peak area,20180626-Cfe-DMSO-14point-494-14point504.mzML Peak area,
134,390.2502435344717,7.1060333333333325,0,6.676355868137511E7,8.244378245637502E7,
135,406.9428995754025,14.6487,0,2.9782290791062497E7,0,
136,424.307634765372,15.570816666666667,0,5.5572930412781164E7,0,
137,448.1145691595909,14.728916666666667,0,4.911459611399999E7,0,
141,493.20189000849064,6.041858333333333,0,8.093607756987493E7,9.962026898556244E7,
147,529.2595048024351,7.1060333333333325,0,5.796289849706258E7,7.608597195650001E7,
148,530.8844731163142,4.6100666666666665,0,2.7455443568500035E7,0,
150,543.2752040932648,7.1060333333333325,0,4.9776752455875084E7,6.4018696513500005E7,
151,545.2544138738826,7.1060333333333325,0,3.084239900562505E7,6.030863642412502E7,
152,550.1572513194659,16.33288333333333,0,4.4828765913187556E7,0,
155,559.2703049794522,7.1060333333333325,0,5.823844528718758E7,7.184588811350003E7,
157,573.2856957584835,7.1060333333333325,0,4.783232828550008E7,6.2863080076875E7,
160,603.2576745706752,6.22235,0,4.76208060949375E7,1.1251458688125013E8,
161,686.3582907436977,7.567575,0,4.315144135921866E7,4.7151457185999915E7,
162,702.3545849388663,8.715283333333334,0,3.479577807071872E8,1.9695149794649994E8,
163,702.3898629573606,11.102033333333333,0,5.1615644533937454E7,0,
165,704.3698699346694,7.888966666666667,0,1.1499973159974982E8,7.379653800612491E7,
167,705.4582523158635,21.688166666666667,0,2.2775040247624922E8,0,
169,802.442823510181,12.200433333333333,0,6.105325135249967E7,0,
170,804.4222606488931,12.842916666666667,0,9.683455121137524E7,0,
172,818.4011447683786,11.624783333333333,0,3.934781266112503E7,4.748620882024992E7,
174,820.4428304334898,13.846366666666666,0,6.736489399300006E7,0,
175,830.436609619228,11.957783333333333,0,4.4380146703187466E7,0,
177,844.4529445036537,12.762716666666668,0,3.5835014139837575E8,0,
179,846.4497227543133,12.762716666666668,0,1.235648708637508E7,0,
